[2025-11-28 09:37:05] INFO: ✅ 服务器运行在端口 3000
[2025-11-28 09:37:05] INFO: 📊 数据库类型: json
[2025-11-28 09:37:05] INFO: 🔐 环境: development
[2025-11-28 09:37:23] WARN: 登录失败: 用户名或密码错误 (admin)
[2025-11-28 09:47:53] WARN: GET /folders - 429 (1ms)
[2025-11-28 09:47:55] WARN: GET /folders - 429 (0ms)
[2025-11-28 09:47:56] WARN: GET /folders - 429 (1ms)
[2025-11-28 09:47:58] WARN: GET /folders - 429 (0ms)
[2025-11-28 09:48:00] WARN: GET /folders - 429 (1ms)
[2025-11-28 09:48:01] WARN: GET /folders - 429 (1ms)
[2025-11-28 09:48:03] WARN: GET /folders - 429 (1ms)
[2025-11-28 09:48:08] INFO: 收到SIGINT信号，开始优雅关闭...
[2025-11-28 09:48:14] INFO: ✅ 服务器运行在端口 3000
[2025-11-28 09:48:14] INFO: 📊 数据库类型: json
[2025-11-28 09:48:14] INFO: 🔐 环境: development
[2025-11-28 09:48:16] INFO: GET / - 200 (120ms)
[2025-11-28 09:48:18] INFO: GET / - 304 (6ms)
[2025-11-28 09:48:18] INFO: GET /1/files - 200 (11ms)
[2025-11-28 09:48:18] INFO: GET /1/subfolders - 200 (15ms)
[2025-11-28 09:48:18] INFO: GET / - 304 (9ms)
[2025-11-28 09:48:20] INFO: GET / - 304 (3ms)
[2025-11-28 09:48:20] INFO: GET /2/files - 200 (6ms)
[2025-11-28 09:48:20] INFO: GET /2/subfolders - 200 (7ms)
[2025-11-28 09:48:20] INFO: GET / - 304 (3ms)
[2025-11-28 09:48:28] INFO: GET / - 304 (6ms)
[2025-11-28 09:48:28] INFO: GET /2/files - 304 (8ms)
[2025-11-28 09:48:28] INFO: GET /2/subfolders - 304 (10ms)
[2025-11-28 09:48:28] INFO: GET / - 304 (5ms)
[2025-11-28 09:48:28] INFO: GET / - 304 (3ms)
[2025-11-28 09:48:29] INFO: 上传文件: TNW-2023040104.jpg (文件夹: test)
[2025-11-28 09:48:29] INFO: POST /2/upload - 200 (51ms)
[2025-11-28 09:48:29] INFO: GET /2/files - 200 (3ms)
[2025-11-28 09:48:34] INFO: GET / - 304 (4ms)
[2025-11-28 09:48:34] INFO: GET /2/files - 304 (6ms)
[2025-11-28 09:48:34] INFO: GET /2/subfolders - 304 (8ms)
[2025-11-28 09:48:34] INFO: GET / - 304 (3ms)
[2025-11-28 09:48:34] INFO: GET / - 304 (3ms)
[2025-11-28 09:48:35] WARN: POST /2/move - 403 (21ms)
[2025-11-28 09:49:58] INFO: 收到SIGINT信号，开始优雅关闭...
[2025-11-28 09:50:03] INFO: ✅ 服务器运行在端口 3000
[2025-11-28 09:50:03] INFO: 📊 数据库类型: json
[2025-11-28 09:50:03] INFO: 🔐 环境: development
[2025-11-28 09:50:08] INFO: 用户登录成功: admin
[2025-11-28 09:50:08] INFO: POST /login - 200 (119ms)
[2025-11-28 09:50:08] INFO: GET / - 200 (6ms)
[2025-11-28 09:50:10] INFO: GET / - 200 (44ms)
[2025-11-28 09:50:12] INFO: GET / - 200 (6ms)
[2025-11-28 09:50:12] INFO: GET / - 200 (11ms)
[2025-11-28 09:50:12] INFO: GET /1/subfolders - 200 (17ms)
[2025-11-28 09:50:12] INFO: GET /1/files - 200 (18ms)
[2025-11-28 09:50:14] INFO: GET / - 200 (6ms)
[2025-11-28 09:50:14] INFO: GET /2/files - 200 (9ms)
[2025-11-28 09:50:14] INFO: GET /2/subfolders - 200 (12ms)
